SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
20MICRONS, EQ, 02-Jul-2026,199.35,201.74,203.0,198.4,201.0,201.78,200.55,108892,218.39,2559,48698.0, 44.72,2026-07-02
21STCENMGM, EQ, 02-Jul-2026,32.27,32.28,32.69,31.63,31.75,31.75,31.69,4582,1.45,39,4269.0, 93.17,2026-07-02
360ONE, EQ, 02-Jul-2026,1065.9,1075.0,1081.6,1060.6,1081.6,1070.0,1069.76,905046,9681.86,41611,485053.0, 53.59,2026-07-02
3BBLACKBIO, EQ, 02-Jul-2026,1201.1,1191.5,1215.0,1186.2,1194.0,1205.8,1201.35,2293,27.55,367,1360.0, 59.31,2026-07-02
3IINFOLTD, EQ, 02-Jul-2026,17.17,17.0,17.87,17.0,17.48,17.41,17.45,347711,60.68,998,196387.0, 56.48,2026-07-02
3MINDIA, EQ, 02-Jul-2026,33435.0,33500.0,34150.0,33320.0,34000.0,33960.0,33747.6,2869,968.22,1651,1413.0, 49.25,2026-07-02
3PLAND, EQ, 02-Jul-2026,31.97,33.35,33.35,31.63,31.63,32.67,32.87,3074,1.01,68,2377.0, 77.33,2026-07-02
5PAISA, EQ, 02-Jul-2026,363.45,363.5,394.0,363.5,386.0,385.3,383.69,327646,1257.14,10390,107619.0, 32.85,2026-07-02
610GS2031, GS, 02-Jul-2026,99.0,103.95,103.95,103.95,103.95,103.95,103.95,1,0.0,1,1.0, 100.00,2026-07-02
63MOONS, EQ, 02-Jul-2026,664.7,667.9,675.0,654.0,658.9,661.5,663.26,101251,671.56,3837,50076.0, 49.46,2026-07-02
645GS2029, GS, 02-Jul-2026,100.06,100.26,100.26,100.25,100.25,100.25,100.25,3800,3.81,4,3800.0, 100.00,2026-07-02
648GS2035, GS, 02-Jul-2026,99.96,97.96,98.9,97.96,98.64,98.64,98.59,3176,3.13,8,2675.0, 84.23,2026-07-02
